driver,top20,top50,fastest,median,laps
194283,834343,830258,827324,832784,20
284508,838508,832751,828727,834975,20
657544,835932,831457,827737,833919,20
303368,842526,835967,833750,838246,20
200429,868946,842567,835119,846504,20
94708,844652,838878,835753,841224,20
375648,846804,841340,838745,843106,20
206473,855218,843355,839235,846995,20
578905,851206,842464,837280,844901,20
26458,849142,842421,839556,844499,20
92573,864779,847259,840453,851424,20
179178,invalid,840047,836418,842140,19
289099,852482,842856,839672,845302,20
442006,852225,843001,838422,845342,20
19266,invalid,851398,849692,853072,19
330317,862908,848030,842353,851852,20
489352,868585,856703,850963,861242,20
456726,864259,851238,846314,853426,20
538815,868241,854455,850325,859182,20
540571,invalid,861283,858612,864595,19
181491,859539,847684,845378,849513,20
263140,854861,841449,839580,842637,20
140495,867619,846313,842487,851778,20
237517,864703,849847,845301,853314,20
388478,invalid,846986,842952,854211,19
