Group ID,Customer ID,Display Name,Laptime,Lap Number,Lap Position
592411,592411,Marc Rozendaal,-1,0,1
384540,384540,Mateusz Kulik,-1,0,2
402486,402486,Roman Szelinger,-1,0,3
197497,197497,Nick Olsen,-1,0,4
505035,505035,Nikola Simunovic,-1,0,5
129450,129450,Marton Teilgård,-1,0,6
558175,558175,Tiago Dos Santos,-1,0,7
624852,624852,Grantas Kareckas,-1,0,8
584418,584418,Adam Cox6,-1,0,9
303061,303061,Tommi Kallio-Kujala,-1,0,10
472134,472134,Kyle R Smith,-1,0,11
344701,344701,Orlando Telheiro,-1,0,12
519429,519429,Andrew Vasquez,-1,0,13
381086,381086,Paulo Alexandre Lopes,-1,0,14
56457,56457,Jose Rafael Dieguez Molero,-1,0,15
287177,287177,Martin Kamii Nowopolski,-1,0,16
302083,302083,Roberto De La Fuente,-1,0,17
565823,565823,Luis Ernesto Jimenez,-1,0,18
701196,701196,Marijn Kremers2,-1,0,19
186864,186864,Florian Kappel,-1,0,20
297879,297879,Daan van der Ven,-1,0,21
54657,54657,Alex Millward,-1,0,22
186604,186604,Marcin Gadzinski,-1,0,23
362693,362693,Vicente Fernández Martín,-1,0,24
392203,392203,Nacho Salas,-1,0,25
485045,485045,Greg Profeta,-1,0,26
498058,498058,Alberto Moreno S,-1,0,27
342641,342641,Marcos Alarcón,-1,0,28
706663,706663,Flint Schniggenberg2,-1,0,29
390453,390453,João Fialho,-1,0,30
25253,25253,Wim Stockmans,-1,0,31
349449,349449,Albin Karlsson,-1,0,32
521796,521796,Nick De Kuijer,-1,0,33
544729,544729,Erdin Caliskan,-1,0,34
414124,414124,Jose A. Delgado,-1,0,35
662479,662479,Mads Schoubye Johansen,-1,0,36
45038,45038,Pedro Henrique,-1,0,37
592411,592411,Marc Rozendaal,977579,1,1
384540,384540,Mateusz Kulik,978111,1,2
197497,197497,Nick Olsen,994761,1,3
129450,129450,Marton Teilgård,1010135,1,4
624852,624852,Grantas Kareckas,1011358,1,5
505035,505035,Nikola Simunovic,1011677,1,6
402486,402486,Roman Szelinger,-1,1,7
558175,558175,Tiago Dos Santos,1014729,1,8
584418,584418,Adam Cox6,1016546,1,9
472134,472134,Kyle R Smith,1019596,1,10
303061,303061,Tommi Kallio-Kujala,1021278,1,11
344701,344701,Orlando Telheiro,1022027,1,12
381086,381086,Paulo Alexandre Lopes,1023999,1,13
287177,287177,Martin Kamii Nowopolski,1027842,1,14
519429,519429,Andrew Vasquez,1035726,1,15
565823,565823,Luis Ernesto Jimenez,1038434,1,16
56457,56457,Jose Rafael Dieguez Molero,1045861,1,17
302083,302083,Roberto De La Fuente,1139218,1,18
701196,701196,Marijn Kremers2,-1,1,19
186864,186864,Florian Kappel,1212830,1,20
297879,297879,Daan van der Ven,1214175,1,21
54657,54657,Alex Millward,1216081,1,22
362693,362693,Vicente Fernández Martín,1229252,1,23
186604,186604,Marcin Gadzinski,1229396,1,24
392203,392203,Nacho Salas,1235913,1,25
485045,485045,Greg Profeta,1236962,1,26
498058,498058,Alberto Moreno S,1238419,1,27
706663,706663,Flint Schniggenberg2,1238941,1,28
342641,342641,Marcos Alarcón,1239548,1,29
390453,390453,João Fialho,1245343,1,30
25253,25253,Wim Stockmans,1247570,1,31
349449,349449,Albin Karlsson,1257314,1,32
662479,662479,Mads Schoubye Johansen,1257486,1,33
45038,45038,Pedro Henrique,1265294,1,34
544729,544729,Erdin Caliskan,1266091,1,35
521796,521796,Nick De Kuijer,-1,1,36
384540,384540,Mateusz Kulik,938294,2,1
592411,592411,Marc Rozendaal,940380,2,2
197497,197497,Nick Olsen,942005,2,3
129450,129450,Marton Teilgård,935947,2,4
624852,624852,Grantas Kareckas,934860,2,5
505035,505035,Nikola Simunovic,941325,2,6
584418,584418,Adam Cox6,945833,2,7
558175,558175,Tiago Dos Santos,948997,2,8
472134,472134,Kyle R Smith,945390,2,9
344701,344701,Orlando Telheiro,950176,2,10
303061,303061,Tommi Kallio-Kujala,952554,2,11
565823,565823,Luis Ernesto Jimenez,958300,2,12
56457,56457,Jose Rafael Dieguez Molero,954796,2,13
519429,519429,Andrew Vasquez,967182,2,14
402486,402486,Roman Szelinger,-1,2,15
302083,302083,Roberto De La Fuente,935393,2,16
381086,381086,Paulo Alexandre Lopes,-1,2,17
287177,287177,Martin Kamii Nowopolski,1117703,2,18
701196,701196,Marijn Kremers2,1038941,2,19
186864,186864,Florian Kappel,1039385,2,20
297879,297879,Daan van der Ven,1039211,2,21
54657,54657,Alex Millward,1037845,2,22
362693,362693,Vicente Fernández Martín,1030529,2,23
186604,186604,Marcin Gadzinski,1039874,2,24
392203,392203,Nacho Salas,1035042,2,25
485045,485045,Greg Profeta,1037326,2,26
498058,498058,Alberto Moreno S,1038056,2,27
706663,706663,Flint Schniggenberg2,1038686,2,28
390453,390453,João Fialho,1035870,2,29
342641,342641,Marcos Alarcón,1046001,2,30
25253,25253,Wim Stockmans,1047737,2,31
349449,349449,Albin Karlsson,1040964,2,32
45038,45038,Pedro Henrique,1036292,2,33
544729,544729,Erdin Caliskan,1040681,2,34
521796,521796,Nick De Kuijer,-1,2,35
662479,662479,Mads Schoubye Johansen,1480827,2,36
384540,384540,Mateusz Kulik,934368,3,1
592411,592411,Marc Rozendaal,938695,3,2
129450,129450,Marton Teilgård,939354,3,3
197497,197497,Nick Olsen,949140,3,4
472134,472134,Kyle R Smith,947483,3,5
584418,584418,Adam Cox6,950604,3,6
558175,558175,Tiago Dos Santos,950319,3,7
344701,344701,Orlando Telheiro,946639,3,8
303061,303061,Tommi Kallio-Kujala,946428,3,9
565823,565823,Luis Ernesto Jimenez,942677,3,10
505035,505035,Nikola Simunovic,-1,3,11
56457,56457,Jose Rafael Dieguez Molero,942285,3,12
519429,519429,Andrew Vasquez,940293,3,13
624852,624852,Grantas Kareckas,1036851,3,14
402486,402486,Roman Szelinger,941456,3,15
302083,302083,Roberto De La Fuente,939970,3,16
381086,381086,Paulo Alexandre Lopes,-1,3,17
701196,701196,Marijn Kremers2,1040429,3,18
186864,186864,Florian Kappel,1040278,3,19
54657,54657,Alex Millward,1043032,3,20
362693,362693,Vicente Fernández Martín,1044287,3,21
186604,186604,Marcin Gadzinski,1037788,3,22
390453,390453,João Fialho,1044001,3,23
342641,342641,Marcos Alarcón,1048079,3,24
25253,25253,Wim Stockmans,1057023,3,25
349449,349449,Albin Karlsson,1054076,3,26
45038,45038,Pedro Henrique,1051536,3,27
544729,544729,Erdin Caliskan,1052484,3,28
706663,706663,Flint Schniggenberg2,1154867,3,29
521796,521796,Nick De Kuijer,-1,3,30
287177,287177,Martin Kamii Nowopolski,1438975,3,31
592411,592411,Marc Rozendaal,934826,4,1
384540,384540,Mateusz Kulik,940737,4,2
129450,129450,Marton Teilgård,935918,4,3
197497,197497,Nick Olsen,937394,4,4
