Driver,Fastest Lap,Top 20 Laps,Top 50%,Median,Laps
592411,934826,942334,937861,940380,21
384540,934368,941168,939472,943069,28
197497,933996,942110,939088,942005,29
129450,932908,937676,935998,939012,27
624852,933267,938459,936432,939850,28
505035,938966,invalid,944810,948393,16
558175,945642,953453,950447,953925,23
584418,943200,949942,947315,951379,28
472134,939156,946397,944648,947939,28
303061,937206,948127,944799,949648,29
344701,940932,947566,945722,949533,29
381086,938222,941893,940410,942589,25
287177,933893,939979,938087,940173,27
519429,940293,invalid,941438,942584,4
565823,936063,946738,942154,949327,28
56457,939022,946189,944112,947463,29
302083,935393,946350,943493,949786,27
186864,1036495,1039769,1038740,1040197,27
297879,1039211,invalid,1039211,1039211,3
54657,1034857,1046861,1044054,1049727,25
362693,1030529,1044765,1038570,1044779,26
186604,1035401,1039684,1038088,1041379,27
392203,1035042,invalid,1035042,1035042,2
485045,1037326,invalid,1037326,1037326,3
498058,1038056,invalid,1073058,1084674,12
706663,1038686,1412505,1042821,1046211,20
342641,1033429,1037973,1037029,1038739,27
390453,1035870,1045692,1040007,1042979,22
25253,1040182,invalid,1043940,1047737,15
349449,1039414,1043388,1041806,1043655,26
662479,1257486,invalid,1257486,1257486,2
45038,1036292,1063187,1057392,1067627,25
544729,1034834,1048313,1043930,1052484,26
701196,1030599,1039754,1038046,1040429,26
402486,935972,941643,939829,942959,27
521796,1042582,1053655,1044360,1046643,23
