Driver ID,Fastest Lap,Top 20 Laps,Top 50%,Median,Laps
486209,1006543,1009405,1015572,1021880,339
438115,1008212,1012216,1016973,1021593,197
342011,1015881,1019412,1023573,1028877,128
419877,1027993,1029640,1030580,1032875,65
348334,1022722,1027283,1028766,1031500,71
124872,1015043,1017059,1021899,1028714,192
292374,1011637,1014198,1021186,1027737,237
559940,1008466,1015008,1022468,1029130,203
574963,1016918,1019540,1026310,1032113,189
322405,1011887,1015569,1020973,1027350,193
161278,1015534,1022678,1029549,1036681,127
334289,1014883,1018537,1023447,1030049,215
381159,1015766,1018355,1024448,1030676,266
291824,1016699,1022028,1028226,1035890,229
482893,1014384,1018478,1025102,1031288,228
369778,1018979,1024895,1029047,1037782,74
54607,1016752,1019571,1026679,1034196,257
391712,1016512,1023992,1031630,1039224,146
386553,1025019,1031103,1033777,1038136,89
515368,1031455,1033831,1039637,1045138,217
400684,1026728,1031783,1037327,1042503,208
69608,1022869,1026934,1034380,1044845,123
512702,1040109,1043677,1044706,1049201,50
528341,1030850,1035326,1041596,1047102,168
223878,1029650,1033089,1041038,1048636,227
325080,1018837,1028215,1031086,1036584,83
479566,1041235,1047187,1048667,1052316,63
444482,1012659,1015901,1022540,1030497,176
483350,1019284,1024598,1030299,1037620,190
48163,1026031,1035767,1044967,1052583,213
756613,1017450,1021068,1029438,1036227,426
368334,1030277,1035578,1044607,1051897,421
636371,1023926,1027642,1032906,1038393,171
400723,1028105,invalid,1032596,1034460,12
457596,1012107,1016698,1021717,1026709,196
541599,1024579,1027378,1031385,1034949,267
212431,1051268,1055713,1054415,1056618,29
399713,1017748,1021110,1029650,1038916,237
278489,1019102,1022273,1027471,1032806,223
52403,1031627,1035652,1039225,1044546,87
490920,1023731,1030865,1038210,1046900,133
581928,1014939,1018244,1022591,1028725,118
196317,1028459,1031972,1031611,1033371,35
568152,1036193,1041849,1043180,1046352,63
535225,1024248,1028520,1036733,1046722,146
319373,1013972,1019863,1025964,1033284,189
432604,1030848,invalid,1031848,1033449,13
514789,1032201,1037251,1039600,1044877,66
601807,1029227,1031702,1037681,1042731,214
232962,1024453,1030931,1035739,1042396,96
497372,1046892,1053325,1055857,1062438,64
361149,1014596,1019979,1024720,1030449,161
17263,1033609,1040376,1044964,1052830,95
551936,1027368,1031690,1033567,1037941,66
466911,1031295,1036621,1041153,1047216,122
119559,1055452,1066061,1063415,1069183,31
337732,1034617,1040944,1039850,1043999,32
465205,1026284,1033434,1041820,1051694,163
399351,1012024,1013762,1018901,1024164,197
411374,1023687,1030507,1037123,1043340,304
415847,1013420,1019000,1024805,1032116,163
498142,1023981,1028194,1034848,1041875,147
319483,1014203,1018207,1024253,1029393,234
142356,1006707,1009320,1015154,1020507,229
562328,1021200,1024806,1029723,1034551,197
573672,1022643,1031170,1035713,1041519,169
328458,1009202,1014481,1020796,1025494,310
400364,1026195,1032805,1038246,1047115,103
557230,1029624,1037374,1043775,1050975,143
201820,1023240,1025974,1030429,1036065,160
136048,1023707,1031032,1033609,1038590,64
533229,1028566,1036905,1045816,1055069,127
279362,1025643,1031081,1037607,1043992,133
325773,1017988,1023708,1028299,1033954,132
413770,1020608,1025798,1030256,1034690,158
341883,1023556,1030936,1036831,1041941,220
148179,1008726,1011317,1016790,1021862,237
478489,1026874,1032914,1039415,1045624,227
455974,1014032,1016777,1022300,1026456,259
599244,1021019,1025343,1032149,1038665,314
468794,1018191,1022907,1027464,1032466,192
416443,1018355,1023938,1028272,1033737,113
590228,1027899,1030897,1033627,1039292,77
159005,1020449,1024616,1026282,1029782,66
313229,1018261,1024320,1025584,1030050,55
150126,1026454,1030111,1036398,1042688,205
392134,1017860,1021055,1025771,1031543,129
383670,1011357,1015064,1022056,1029249,186
438497,1029837,1033638,1037778,1043435,128
150451,1020102,1025944,1026976,1030182,56
78503,1039706,1046621,1047980,1052469,63
508229,1011739,1017380,1023749,1028355,234
606347,1030657,1034472,1040979,1046323,250
503030,1028537,1031451,1039091,1045063,362
40839,1024444,1027366,1032550,1037450,192
15367,1034621,1041454,1048819,1057077,122
332546,1022138,1025483,1030408,1035680,165
456394,1031441,1036318,1040966,1046963,149
393940,1018934,1023087,1027163,1032130,192
559981,1012828,1015839,1020429,1024049,197
59361,1027359,1032690,1040384,1047164,160
623840,1029620,1036061,1043825,1052806,148
308684,1020194,1021973,1026776,1032318,163
649941,1019040,1026224,1032562,1038042,230
313251,1007095,1010490,1015055,1018855,258
449149,1016533,1019846,1026195,1032890,155
508410,1030329,1034838,1041962,1049120,127
663274,1025497,1031567,1036197,1041993,162
632506,1050505,1055154,1057911,1065906,63
582799,1019287,1023618,1027441,1031394,191
412321,1023235,1026165,1030723,1035110,194
361381,1026157,1029417,1036720,1044260,202
279166,1017676,1022458,1023594,1026816,64
564555,1034245,1038145,1043352,1048770,218
250637,1011508,1015623,1018943,1022573,196
26817,1046232,1051369,1053067,1056933,64
509740,1018575,1022892,1027335,1032283,130
350675,1015523,1019646,1024799,1029192,195
347135,1014735,1017975,1019619,1023510,66
597691,1031154,1034675,1035371,1037740,55
62887,1011706,1015055,1017675,1021531,95
284273,1025427,1027859,1033392,1037429,384
54483,1020161,1024745,1028980,1034472,129
495157,1027353,1029776,1034923,1041035,122
468415,1025989,1032454,1036136,1042049,81
657612,1024566,1027862,1032759,1037568,222
28566,1022808,1026837,1033757,1040996,262
225398,1015738,1020453,1025802,1030587,230
406959,1017160,1021430,1025206,1029613,115
342865,1009503,1012231,1016192,1019819,192
585271,1028729,1037005,1042261,1047885,113
127788,1021870,1029501,1034649,1039861,126
428039,1011679,1015407,1017784,1021016,91
421136,1033592,1038481,1044282,1049384,177
147198,1020480,1025857,1024939,1027066,30
156368,1017813,1020332,1026207,1032112,293
446651,1053009,1061068,1063642,1068884,75
336685,1016077,1023527,1027278,1031013,142
378144,1037488,1042128,1044682,1047982,120
329347,1018526,1024147,1030984,1037214,196
130421,1010335,1014628,1020239,1025109,194
231990,1022297,1025738,1029616,1034092,138
145704,1035694,1042801,1044228,1048395,59
258373,1030460,1036849,1038989,1045960,59
44888,1021451,1025344,1029558,1034034,143
589660,1033139,1041556,1040214,1048178,34
115805,1017604,1019967,1024482,1029075,195
337060,1024903,1031370,1034217,1039462,75
245077,1020191,1024368,1025987,1029910,65
236179,1023295,1027994,1032141,1038398,163
468419,1009870,1019608,1024480,1029405,126
236417,1020090,1025010,1027871,1030971,128
598688,1037675,1047644,1047176,1054665,38
107624,1009257,1011340,1016666,1022129,194
394965,1035699,1039113,1044669,1052296,112
538453,1064786,1092715,1079173,1089430,21
325542,1010716,1015627,1019334,1022627,194
158789,1032877,1039365,1045316,1052360,134
435085,1010004,1011888,1015805,1020375,256
641181,1014967,1021378,1028060,1035255,201
455195,1021291,1025223,1029081,1034220,128
431690,1014209,1016980,1023575,1028477,253
230399,1010798,1014921,1021076,1027437,198
74840,1013676,1018359,1021532,1025624,131
495105,1035804,1045592,1050187,1057804,75
146444,1013002,1014810,1018631,1021857,190
316122,1012783,1015594,1019838,1025091,194
501873,1035990,invalid,1040261,1044187,18
326157,1019215,1021744,1026615,1031764,203
358495,1020228,1024242,1028382,1034022,108
385126,1015898,1018387,1023027,1028646,152
466944,1016066,1019043,1020780,1025302,64
173563,1028497,1031212,1035093,1040627,108
