Group ID,Customer ID,Display Name,Laptime,Lap Number,Lap Position
-10012,109169,Dayne Warren,-1,0,1
-259953,269106,Yohann Harth,-1,0,2
-10010,169237,Joshua K Rogers,-1,0,3
-10014,244820,Moritz Löhner,-1,0,4
-119009,352506,Pedro Sanchez Albert,-1,0,5
-115117,165200,Moreno Sirica,-1,0,6
-196349,293695,Ross Woodford,-1,0,7
-135740,327883,Ivan Machado Perez,-1,0,8
-215463,240638,Erick Goldner,-1,0,9
-59059,261900,Arthur Lehouck,-1,0,10
-182782,353236,Mauricio Quero,-1,0,11
-107246,214897,Sacha Gorlé,-1,0,12
-59862,247589,Nick Schulte-Wissermann,-1,0,13
-260460,222130,Matti Kaidesoja,-1,0,14
-224283,131528,Sai Andra,-1,0,15
-167097,176812,Fraser Williamson,-1,0,16
-91213,273159,Markus Dec,-1,0,17
-126711,344689,Hugo Brandao,-1,0,18
-205195,550107,Guillaume Egloff,-1,0,19
-125738,71005,Alexandre Gravouille,-1,0,20
-232524,559940,Owen Caryl,-1,0,21
-80235,328894,Graham D Sanders,-1,0,22
-83099,225176,Mats-Thorge Huthsfeldt,-1,0,23
-263619,445880,Raoul J Hyman,-1,0,24
-236828,290948,Antti Ahola,-1,0,25
-234233,252689,Ricardo  Rico,-1,0,26
-215159,199325,Maximilian Benecke,-1,0,27
-213173,373516,Rainer Talvar,-1,0,28
-150692,260835,Chris Lulham,-1,0,29
-65804,487300,Luke McKeown,-1,0,30
-251804,270254,Lasse Bak,-1,0,31
-252251,122282,Jonas Wallmeier,-1,0,32
-155811,101152,Agustin Canapino,-1,0,33
-252258,219108,Alejandro Sánchez,-1,0,34
-239411,427776,Valentin Mandernach,-1,0,35
-263515,418116,Luke A Bennett,-1,0,36
-83264,104438,Govand Keanie,-1,0,37
-121133,313251,Sven Haase,-1,0,38
-126080,194657,Marc Perez,-1,0,39
-60249,219696,Josh Thompson,-1,0,40
-107187,334483,Oskari Rinne,-1,0,41
-43350,300066,Bram van Putten,-1,0,42
-263573,192964,Nicolas Varrone,-1,0,43
-263496,165169,Sota Muto,-1,0,44
-226131,313327,Felix Quirmbach,-1,0,45
-236332,395947,Ritomo Miyata,-1,0,46
-209489,292374,Daniel Ferguson,-1,0,47
-263680,349143,Sam Kuitert,-1,0,48
-263677,438115,Alexey Nesov,-1,0,49
-260212,313229,Vlad Khimichev,-1,0,50
-10012,109169,Dayne Warren,988356,1,1
-10010,169237,Joshua K Rogers,989323,1,2
-259953,269106,Yohann Harth,996774,1,3
-119009,352506,Pedro Sanchez Albert,1002765,1,4
-59059,261900,Arthur Lehouck,1005812,1,5
-107246,214897,Sacha Gorlé,1012227,1,6
-196349,293695,Ross Woodford,1014090,1,7
-182782,353236,Mauricio Quero,1018147,1,8
-135740,327883,Ivan Machado Perez,1023172,1,9
-224283,131528,Sai Andra,1027292,1,10
-126711,344689,Hugo Brandao,1034065,1,11
-167097,176812,Fraser Williamson,1034871,1,12
-232524,559940,Owen Caryl,1038320,1,13
-125738,71005,Alexandre Gravouille,1043324,1,14
-205195,550107,Guillaume Egloff,1051275,1,15
-80235,328894,Graham D Sanders,1053290,1,16
-59862,247589,Nick Schulte-Wissermann,1055199,1,17
-83099,225176,Mats-Thorge Huthsfeldt,1061805,1,18
-236828,290948,Antti Ahola,1062454,1,19
-263619,445880,Raoul J Hyman,1076009,1,20
-91213,273159,Markus Dec,1089740,1,21
-260460,222130,Matti Kaidesoja,1092594,1,22
-115117,165200,Moreno Sirica,1111741,1,23
-10014,244820,Moritz Löhner,1113722,1,24
-215159,199325,Maximilian Benecke,1204562,1,25
-234233,252689,Ricardo  Rico,1205431,1,26
-213173,373516,Rainer Talvar,1207094,1,27
-150692,260835,Chris Lulham,1207938,1,28
-65804,487300,Luke McKeown,1208950,1,29
-251804,270254,Lasse Bak,1212629,1,30
-252251,122282,Jonas Wallmeier,1213558,1,31
-83264,104438,Govand Keanie,1220853,1,32
-239411,427776,Valentin Mandernach,1221586,1,33
-155811,101152,Agustin Canapino,1224065,1,34
-263515,418116,Luke A Bennett,1224676,1,35
-252258,219108,Alejandro Sánchez,1227798,1,36
-121133,313251,Sven Haase,1231632,1,37
-60249,219696,Josh Thompson,1237750,1,38
-126080,194657,Marc Perez,1238304,1,39
-263573,192964,Nicolas Varrone,1241534,1,40
-107187,334483,Oskari Rinne,1245196,1,41
-236332,395947,Ritomo Miyata,1246420,1,42
-43350,300066,Bram van Putten,1251129,1,43
-263680,349143,Sam Kuitert,1253591,1,44
-260212,313229,Vlad Khimichev,1255540,1,45
-226131,313327,Felix Quirmbach,1258380,1,46
-263496,165169,Sota Muto,1262582,1,47
-263677,438115,Alexey Nesov,1265113,1,48
-209489,292374,Daniel Ferguson,1268593,1,49
-215463,240638,Erick Goldner,-1,1,50
-10012,109169,Dayne Warren,928224,2,1
-10010,169237,Joshua K Rogers,927800,2,2
-259953,269106,Yohann Harth,926437,2,3
-119009,352506,Pedro Sanchez Albert,923929,2,4
-59059,261900,Arthur Lehouck,927564,2,5
-107246,214897,Sacha Gorlé,927856,2,6
-196349,293695,Ross Woodford,929967,2,7
-182782,353236,Mauricio Quero,928701,2,8
-224283,131528,Sai Andra,936444,2,9
-126711,344689,Hugo Brandao,930495,2,10
-167097,176812,Fraser Williamson,935382,2,11
-232524,559940,Owen Caryl,933462,2,12
-135740,327883,Ivan Machado Perez,-1,2,13
-125738,71005,Alexandre Gravouille,932146,2,14
-205195,550107,Guillaume Egloff,929277,2,15
-80235,328894,Graham D Sanders,933372,2,16
-59862,247589,Nick Schulte-Wissermann,932751,2,17
-236828,290948,Antti Ahola,927069,2,18
-83099,225176,Mats-Thorge Huthsfeldt,939244,2,19
-263619,445880,Raoul J Hyman,938521,2,20
-91213,273159,Markus Dec,925166,2,21
-260460,222130,Matti Kaidesoja,931133,2,22
-115117,165200,Moreno Sirica,928916,2,23
-10014,244820,Moritz Löhner,952920,2,24
-215159,199325,Maximilian Benecke,1040715,2,25
-150692,260835,Chris Lulham,1037919,2,26
-234233,252689,Ricardo  Rico,1042354,2,27
-213173,373516,Rainer Talvar,1041757,2,28
-65804,487300,Luke McKeown,1043324,2,29
-83264,104438,Govand Keanie,1043586,2,30
-251804,270254,Lasse Bak,1052004,2,31
-252251,122282,Jonas Wallmeier,1052959,2,32
-239411,427776,Valentin Mandernach,1046107,2,33
-263515,418116,Luke A Bennett,1043827,2,34
-121133,313251,Sven Haase,1041878,2,35
-155811,101152,Agustin Canapino,1059334,2,36
-263573,192964,Nicolas Varrone,1042370,2,37
-60249,219696,Josh Thompson,1047444,2,38
-252258,219108,Alejandro Sánchez,1060282,2,39
-126080,194657,Marc Perez,1051649,2,40
-236332,395947,Ritomo Miyata,1046631,2,41
-43350,300066,Bram van Putten,1044751,2,42
-260212,313229,Vlad Khimichev,1041685,2,43
-107187,334483,Oskari Rinne,1052765,2,44
-263680,349143,Sam Kuitert,1046726,2,45
-226131,313327,Felix Quirmbach,1044310,2,46
-263496,165169,Sota Muto,1046944,2,47
-263677,438115,Alexey Nesov,1048777,2,48
-209489,292374,Daniel Ferguson,1048751,2,49
-10012,109169,Dayne Warren,928275,3,1
-10010,169237,Joshua K Rogers,928287,3,2
-259953,269106,Yohann Harth,924053,3,3
-119009,352506,Pedro Sanchez Albert,925391,3,4
-59059,261900,Arthur Lehouck,926766,3,5
-107246,214897,Sacha Gorlé,927205,3,6
-196349,293695,Ross Woodford,927624,3,7
-182782,353236,Mauricio Quero,925802,3,8
-224283,131528,Sai Andra,934655,3,9
-126711,344689,Hugo Brandao,934709,3,10
-167097,176812,Fraser Williamson,930570,3,11
-125738,71005,Alexandre Gravouille,933114,3,12
-232524,559940,Owen Caryl,937386,3,13
-205195,550107,Guillaume Egloff,931206,3,14
-135740,327883,Ivan Machado Perez,-1,3,15
-80235,328894,Graham D Sanders,932006,3,16
-59862,247589,Nick Schulte-Wissermann,933313,3,17
-236828,290948,Antti Ahola,934596,3,18
-83099,225176,Mats-Thorge Huthsfeldt,934892,3,19
-91213,273159,Markus Dec,929365,3,20
-260460,222130,Matti Kaidesoja,931419,3,21
-263619,445880,Raoul J Hyman,944907,3,22
-115117,165200,Moreno Sirica,929667,3,23
-10014,244820,Moritz Löhner,1016906,3,24
-215159,199325,Maximilian Benecke,1038016,3,25
-150692,260835,Chris Lulham,1038018,3,26
-234233,252689,Ricardo  Rico,1037067,3,27
-213173,373516,Rainer Talvar,1040534,3,28
-65804,487300,Luke McKeown,1041297,3,29
-251804,270254,Lasse Bak,1035186,3,30
-83264,104438,Govand Keanie,1038433,3,31
-252251,122282,Jonas Wallmeier,1042945,3,32
-239411,427776,Valentin Mandernach,1044059,3,33
-263515,418116,Luke A Bennett,1045030,3,34
-155811,101152,Agustin Canapino,1040201,3,35
-263573,192964,Nicolas Varrone,1041337,3,36
-121133,313251,Sven Haase,1052843,3,37
-60249,219696,Josh Thompson,1042315,3,38
-252258,219108,Alejandro Sánchez,1041687,3,39
-126080,194657,Marc Perez,1042931,3,40
-236332,395947,Ritomo Miyata,1043777,3,41
-260212,313229,Vlad Khimichev,1040166,3,42
-43350,300066,Bram van Putten,1048326,3,43
-107187,334483,Oskari Rinne,1049997,3,44
-226131,313327,Felix Quirmbach,1048919,3,45
-263496,165169,Sota Muto,1043802,3,46
-263680,349143,Sam Kuitert,1055552,3,47
-263677,438115,Alexey Nesov,1044803,3,48
-209489,292374,Daniel Ferguson,1045745,3,49
-10012,109169,Dayne Warren,928585,4,1
-10010,169237,Joshua K Rogers,929786,4,2
-259953,269106,Yohann Harth,930734,4,3
-119009,352506,Pedro Sanchez Albert,927832,4,4
-59059,261900,Arthur Lehouck,926270,4,5
-107246,214897,Sacha Gorlé,926973,4,6
-196349,293695,Ross Woodford,928901,4,7
-182782,353236,Mauricio Quero,929113,4,8
-224283,131528,Sai Andra,933669,4,9
-126711,344689,Hugo Brandao,933281,4,10
-167097,176812,Fraser Williamson,931966,4,11
-125738,71005,Alexandre Gravouille,929221,4,12
-232524,559940,Owen Caryl,931475,4,13
-205195,550107,Guillaume Egloff,935365,4,14
-135740,327883,Ivan Machado Perez,933837,4,15
-80235,328894,Graham D Sanders,933317,4,16
-59862,247589,Nick Schulte-Wissermann,933079,4,17
-236828,290948,Antti Ahola,931882,4,18
-83099,225176,Mats-Thorge Huthsfeldt,937759,4,19
-91213,273159,Markus Dec,929492,4,20
-260460,222130,Matti Kaidesoja,927212,4,21
-263619,445880,Raoul J Hyman,937018,4,22
-115117,165200,Moreno Sirica,928240,4,23
-215159,199325,Maximilian Benecke,1039911,4,24
-150692,260835,Chris Lulham,1039914,4,25
-234233,252689,Ricardo  Rico,1040518,4,26
-213173,373516,Rainer Talvar,1037421,4,27
-65804,487300,Luke McKeown,1036337,4,28
-251804,270254,Lasse Bak,1037319,4,29
-83264,104438,Govand Keanie,1038853,4,30
-252251,122282,Jonas Wallmeier,1036458,4,31
-263515,418116,Luke A Bennett,1034984,4,32
-239411,427776,Valentin Mandernach,1043176,4,33
-155811,101152,Agustin Canapino,1041645,4,34
-263573,192964,Nicolas Varrone,1042862,4,35
-121133,313251,Sven Haase,1043990,4,36
-60249,219696,Josh Thompson,1045644,4,37
-260212,313229,Vlad Khimichev,1058259,4,38
-236332,395947,Ritomo Miyata,1059423,4,39
-43350,300066,Bram van Putten,1054099,4,40
-107187,334483,Oskari Rinne,1052639,4,41
-226131,313327,Felix Quirmbach,1053143,4,42
-263496,165169,Sota Muto,1057652,4,43
-126080,194657,Marc Perez,1083691,4,44
-263677,438115,Alexey Nesov,1058434,4,45
-209489,292374,Daniel Ferguson,1061442,4,46
-263680,349143,Sam Kuitert,-1,4,47
-10012,109169,Dayne Warren,928998,5,1
-10010,169237,Joshua K Rogers,928076,5,2
-259953,269106,Yohann Harth,929521,5,3
-119009,352506,Pedro Sanchez Albert,931042,5,4
-59059,261900,Arthur Lehouck,927648,5,5
-107246,214897,Sacha Gorlé,928247,5,6
-196349,293695,Ross Woodford,927163,5,7
-182782,353236,Mauricio Quero,931132,5,8
-167097,176812,Fraser Williamson,933177,5,9
-224283,131528,Sai Andra,934473,5,10
-126711,344689,Hugo Brandao,935113,5,11
-125738,71005,Alexandre Gravouille,933409,5,12
-232524,559940,Owen Caryl,934452,5,13
-135740,327883,Ivan Machado Perez,932411,5,14
-205195,550107,Guillaume Egloff,939297,5,15
-80235,328894,Graham D Sanders,936259,5,16
-59862,247589,Nick Schulte-Wissermann,935607,5,17
-236828,290948,Antti Ahola,939833,5,18
-91213,273159,Markus Dec,932632,5,19
-83099,225176,Mats-Thorge Huthsfeldt,936903,5,20
-260460,222130,Matti Kaidesoja,929492,5,21
-115117,165200,Moreno Sirica,934380,5,22
-263619,445880,Raoul J Hyman,939571,5,23
-10014,244820,Moritz Löhner,2020343,4,48
-215159,199325,Maximilian Benecke,1037652,5,24
-150692,260835,Chris Lulham,1037644,5,25
-213173,373516,Rainer Talvar,1040339,5,26
-65804,487300,Luke McKeown,1043515,5,27
-251804,270254,Lasse Bak,1036915,5,28
-234233,252689,Ricardo  Rico,1051577,5,29
-83264,104438,Govand Keanie,1038459,5,30
-252251,122282,Jonas Wallmeier,1037589,5,31
-263515,418116,Luke A Bennett,1036003,5,32
-239411,427776,Valentin Mandernach,1035982,5,33
-155811,101152,Agustin Canapino,1042936,5,34
-263573,192964,Nicolas Varrone,1040620,5,35
-121133,313251,Sven Haase,1038751,5,36
-60249,219696,Josh Thompson,1040971,5,37
-260212,313229,Vlad Khimichev,1040954,5,38
-236332,395947,Ritomo Miyata,1040949,5,39
-43350,300066,Bram van Putten,1041622,5,40
-107187,334483,Oskari Rinne,1043327,5,41
-226131,313327,Felix Quirmbach,1041773,5,42
-263496,165169,Sota Muto,1042448,5,43
-263677,438115,Alexey Nesov,1043989,5,44
-126080,194657,Marc Perez,1045103,5,45
-209489,292374,Daniel Ferguson,1044923,5,46
-215463,240638,Erick Goldner,4245345,2,50
-10012,109169,Dayne Warren,930479,6,1
-10010,169237,Joshua K Rogers,930194,6,2
-259953,269106,Yohann Harth,929717,6,3
-119009,352506,Pedro Sanchez Albert,927396,6,4
-59059,261900,Arthur Lehouck,926462,6,5
-107246,214897,Sacha Gorlé,933378,6,6
-196349,293695,Ross Woodford,929851,6,7
-182782,353236,Mauricio Quero,929467,6,8
-167097,176812,Fraser Williamson,934946,6,9
-224283,131528,Sai Andra,934931,6,10
-126711,344689,Hugo Brandao,934887,6,11
-125738,71005,Alexandre Gravouille,932842,6,12
-232524,559940,Owen Caryl,931181,6,13
-135740,327883,Ivan Machado Perez,933307,6,14
-236828,290948,Antti Ahola,940656,6,15
-80235,328894,Graham D Sanders,948814,6,16
-91213,273159,Markus Dec,934918,6,17
-59862,247589,Nick Schulte-Wissermann,955316,6,18
-205195,550107,Guillaume Egloff,962932,6,19
-260460,222130,Matti Kaidesoja,938195,6,20
-83099,225176,Mats-Thorge Huthsfeldt,939934,6,21
-115117,165200,Moreno Sirica,935765,6,22
-263619,445880,Raoul J Hyman,940668,6,23
-10014,244820,Moritz Löhner,933907,5,47
-215159,199325,Maximilian Benecke,1039156,6,24
-150692,260835,Chris Lulham,1039154,6,25
-213173,373516,Rainer Talvar,1035662,6,26
-65804,487300,Luke McKeown,1035540,6,27
-251804,270254,Lasse Bak,1037773,6,28
-234233,252689,Ricardo  Rico,1042646,6,29
-83264,104438,Govand Keanie,1041788,6,30
-252251,122282,Jonas Wallmeier,1040661,6,31
-263515,418116,Luke A Bennett,1041402,6,32
-239411,427776,Valentin Mandernach,1039581,6,33
-121133,313251,Sven Haase,1046929,6,34
-263573,192964,Nicolas Varrone,1047911,6,35
-60249,219696,Josh Thompson,1043338,6,36
-155811,101152,Agustin Canapino,1054105,6,37
-260212,313229,Vlad Khimichev,1042654,6,38
-236332,395947,Ritomo Miyata,1042946,6,39
-43350,300066,Bram van Putten,1043082,6,40
-107187,334483,Oskari Rinne,1043576,6,41
-226131,313327,Felix Quirmbach,1042572,6,42
-263496,165169,Sota Muto,1042113,6,43
-263677,438115,Alexey Nesov,1039061,6,44
-209489,292374,Daniel Ferguson,1040361,6,45
-126080,194657,Marc Perez,1048514,6,46
-215463,240638,Erick Goldner,935363,3,50
-10012,109169,Dayne Warren,928977,7,1
-10010,169237,Joshua K Rogers,930285,7,2
-259953,269106,Yohann Harth,926726,7,3
-119009,352506,Pedro Sanchez Albert,933051,7,4
-59059,261900,Arthur Lehouck,934229,7,5
-107246,214897,Sacha Gorlé,932389,7,6
-196349,293695,Ross Woodford,932288,7,7
-182782,353236,Mauricio Quero,929166,7,8
-167097,176812,Fraser Williamson,932731,7,9
-224283,131528,Sai Andra,932741,7,10
-126711,344689,Hugo Brandao,936159,7,11
-125738,71005,Alexandre Gravouille,935119,7,12
-232524,559940,Owen Caryl,936119,7,13
-135740,327883,Ivan Machado Perez,931903,7,14
-236828,290948,Antti Ahola,936162,7,15
-91213,273159,Markus Dec,931743,7,16
-80235,328894,Graham D Sanders,936210,7,17
-59862,247589,Nick Schulte-Wissermann,930195,7,18
-260460,222130,Matti Kaidesoja,937835,7,19
-205195,550107,Guillaume Egloff,939256,7,20
-83099,225176,Mats-Thorge Huthsfeldt,946409,7,21
-115117,165200,Moreno Sirica,933000,7,22
-263619,445880,Raoul J Hyman,941577,7,23
-10014,244820,Moritz Löhner,934752,6,47
-263680,349143,Sam Kuitert,2593889,5,48
-215159,199325,Maximilian Benecke,1038492,7,24
-150692,260835,Chris Lulham,1038492,7,25
-213173,373516,Rainer Talvar,1038511,7,26
-65804,487300,Luke McKeown,1036010,7,27
-251804,270254,Lasse Bak,1038016,7,28
-234233,252689,Ricardo  Rico,1039514,7,29
-83264,104438,Govand Keanie,1037602,7,30
-252251,122282,Jonas Wallmeier,1040241,7,31
-263515,418116,Luke A Bennett,1039691,7,32
-239411,427776,Valentin Mandernach,1038394,7,33
-215463,240638,Erick Goldner,947440,4,49
-263573,192964,Nicolas Varrone,1047977,7,34
-10010,169237,Joshua K Rogers,943033,8,1
-121133,313251,Sven Haase,1050958,7,35
-10012,109169,Dayne Warren,946089,8,2
-155811,101152,Agustin Canapino,1045940,7,36
-259953,269106,Yohann Harth,948370,8,3
-119009,352506,Pedro Sanchez Albert,950184,8,4
-260212,313229,Vlad Khimichev,1043321,7,37
-236332,395947,Ritomo Miyata,1043644,7,38
-59059,261900,Arthur Lehouck,950893,8,5
-43350,300066,Bram van Putten,1047256,7,39
-107187,334483,Oskari Rinne,1045850,7,40
-196349,293695,Ross Woodford,945276,8,6
-107246,214897,Sacha Gorlé,947406,8,7
-182782,353236,Mauricio Quero,946888,8,8
-226131,313327,Felix Quirmbach,1057616,7,41
-263496,165169,Sota Muto,1055976,7,42
-263677,438115,Alexey Nesov,1057580,7,43
-209489,292374,Daniel Ferguson,1049014,7,44
-167097,176812,Fraser Williamson,933942,8,9
-224283,131528,Sai Andra,933898,8,10
-126711,344689,Hugo Brandao,931136,8,11
-125738,71005,Alexandre Gravouille,935802,8,12
-232524,559940,Owen Caryl,934668,8,13
-135740,327883,Ivan Machado Perez,938872,8,14
-91213,273159,Markus Dec,936743,8,15
-236828,290948,Antti Ahola,937593,8,16
-80235,328894,Graham D Sanders,939197,8,17
-59862,247589,Nick Schulte-Wissermann,937753,8,18
-260460,222130,Matti Kaidesoja,930548,8,19
-205195,550107,Guillaume Egloff,942517,8,20
-83099,225176,Mats-Thorge Huthsfeldt,937892,8,21
-115117,165200,Moreno Sirica,933518,8,22
-263619,445880,Raoul J Hyman,943022,8,23
-10014,244820,Moritz Löhner,935302,7,45
-10010,169237,Joshua K Rogers,947566,9,1
-10012,109169,Dayne Warren,953004,9,2
-259953,269106,Yohann Harth,949158,9,3
-119009,352506,Pedro Sanchez Albert,949741,9,4
-59059,261900,Arthur Lehouck,947393,9,5
-215463,240638,Erick Goldner,972328,5,49
