driver,top20,top50,fastest,median,laps
109169,922086,926561,919190,932177,171
169237,919510,925656,914941,930285,461
269106,921623,926342,919265,931066,289
352506,925792,930903,923929,935132,353
261900,924433,928875,922041,933466,241
214897,931278,932426,926973,936018,57
293695,923911,928525,921745,933919,194
353236,925536,930890,922187,935404,256
327883,932364,935135,928686,939478,93
131528,926220,931383,922940,935241,353
344689,928449,932431,926820,935722,256
176812,927602,932684,925114,936494,340
559940,928457,933489,924686,937972,266
71005,929017,933292,922959,936831,243
550107,927981,933438,923535,937582,322
328894,931396,937108,926901,941126,282
247589,934510,936329,930195,940572,66
225176,930384,935024,926477,939244,193
290948,927082,932414,923037,936825,246
445880,933415,938791,930087,942767,226
273159,925822,931670,923917,936558,384
222130,926647,930756,923542,934678,280
165200,925711,930949,917635,935347,194
244820,928882,933810,926503,938170,287
199325,1035394,1037789,1031456,1040729,128
252689,invalid,1038287,1036879,1039842,13
373516,1031035,1035132,1028955,1037950,340
260835,1030338,1034560,1020845,1038040,211
487300,1031969,1035799,1028803,1038701,285
270254,1027853,1034304,1024420,1038816,434
122282,1030446,1034846,1027628,1038641,438
104438,1031253,1035642,1029263,1038545,390
427776,1031425,1035432,1029421,1038270,376
101152,1038474,1038033,1035015,1041852,37
418116,1032577,1036728,1029460,1039691,342
219108,1028680,1031133,1025185,1034271,100
313251,1029619,1034593,1025881,1039231,242
219696,invalid,1042208,1040971,1043338,6
194657,1040529,1041961,1037249,1044770,70
192964,1034819,1039299,1031866,1042916,227
334483,1032238,1037117,1028119,1041185,287
395947,1037512,1039480,1034526,1042287,97
300066,1033040,1038606,1028728,1042456,313
349143,1031597,1036373,1028268,1039675,386
313229,1037125,1039304,1032372,1042352,94
313327,1032157,1036279,1028244,1039697,212
165169,1031955,1037393,1027505,1042113,234
438115,1031409,1036403,1028232,1039644,455
292374,1031839,1036538,1029384,1040339,315
240638,931614,935054,929783,938604,214
497790,927789,933660,923194,938168,295
397976,933854,938166,930244,942556,210
523395,927292,932486,924528,937023,276
295750,928112,932524,925074,936478,335
364796,930742,935740,926612,940027,238
115035,929080,935140,924235,940145,233
221200,1033798,1035610,1030420,1038489,108
282014,1031780,1035999,1029000,1040534,187
125400,925223,930641,922840,935673,310
423482,930620,936961,925545,940964,241
207175,922490,928404,917814,932991,289
