Group ID,Customer ID,Display Name,Laptime,Lap Number,Lap Position
731799,731799,Alxander Spetz2,-1,0,1
572987,572987,Martial Shelby Hubert,-1,0,2
423482,423482,Daniel Sivi-Szabo,-1,0,3
604949,604949,Dean Woods2,-1,0,4
395307,395307,Ramez Azzam,-1,0,5
247988,247988,Gabriel Roos,-1,0,6
528552,528552,Niclas Geßner,-1,0,7
644221,644221,Matias O Birk,-1,0,8
315202,315202,Marc Gomes,-1,0,9
201820,201820,Matt Loveridge,-1,0,10
540753,540753,Kevin Birrell,-1,0,11
505948,505948,Dimitris Vourlegas,-1,0,12
603200,603200,Shiva Nath,-1,0,13
116044,116044,Jamie Welch,-1,0,14
402197,402197,Hugh Hickling,-1,0,15
562582,562582,Harrison Lillas,-1,0,16
668603,668603,Shane Clancy,-1,0,17
667169,667169,Mark M Smith,-1,0,18
137413,137413,Patrik Holzmann,-1,0,19
443110,443110,Michael Neumeier II,-1,0,20
279166,279166,Lukas Prada,-1,0,21
602559,602559,Yurica Kasdorp,-1,0,22
328458,328458,Jelle Wolters,-1,0,23
193385,193385,Pablo Araujo Castro,-1,0,24
377915,377915,Alessio Centonze,-1,0,25
593886,593886,Jorge Sánchez Rodríguez,-1,0,26
568152,568152,Jordy Spetgens,-1,0,27
457511,457511,Thomas Masniere,-1,0,28
180228,180228,Dennis Wieke,-1,0,29
448487,448487,Antoine Morelle2,-1,0,30
722908,722908,Jake Franjic,-1,0,31
667770,667770,Pedro Daniel Paquete,-1,0,32
569768,569768,M Taqi,-1,0,33
392108,392108,Marc Noske,-1,0,34
613687,613687,Albin Spetz,-1,0,35
155139,155139,Andre F Yousiff,-1,0,36
210500,210500,Kevin Sommer,-1,0,37
731799,731799,Alxander Spetz2,945493,1,1
423482,423482,Daniel Sivi-Szabo,954396,1,2
604949,604949,Dean Woods2,966492,1,3
395307,395307,Ramez Azzam,967804,1,4
572987,572987,Martial Shelby Hubert,973071,1,5
528552,528552,Niclas Geßner,982347,1,6
644221,644221,Matias O Birk,987190,1,7
