driver,top20,top50,fastest,median,laps
731799,913142,911897,908581,915471,30
423482,916068,915255,911403,917628,30
604949,917344,916481,914943,918001,30
395307,922208,920746,915666,924701,30
572987,916519,915019,911532,917074,30
528552,924319,923649,920065,925734,30
644221,invalid,929403,928446,930361,5
247988,920812,919439,916074,923581,30
201820,926208,924598,919424,929588,30
315202,invalid,930617,928734,933731,12
540753,930425,929121,925788,931854,30
603200,946187,943379,937524,948591,27
116044,934092,931196,925189,936568,28
667169,927966,923631,917624,928972,25
562582,935890,933877,928407,938979,30
668603,935589,931798,927001,939504,30
402197,invalid,952654,948301,957676,14
505948,926444,923275,918669,928298,29
443110,1031635,1029811,1025756,1033554,27
137413,1027631,1026487,1021840,1028658,27
602559,1033733,1032377,1027741,1034037,27
279166,1033737,1032373,1029778,1035083,27
193385,1035089,1033410,1030723,1034787,24
328458,1034351,1031333,1028106,1033331,23
377915,1039153,1037496,1030827,1040872,27
593886,1040790,1039323,1035584,1042232,27
457511,invalid,1037440,1036522,1038028,7
568152,1042581,1040992,1038418,1044409,27
613687,1041121,1039506,1033736,1041959,27
448487,1043455,1041621,1034679,1044691,27
722908,1045342,1043057,1037407,1046344,26
392108,invalid,1050219,1050219,1050219,2
667770,1045004,1043379,1041287,1044884,26
569768,1047548,1044970,1041835,1048478,26
180228,invalid,1060193,1052843,1067544,5
210500,1044539,1042533,1038127,1044960,25
